scenario,n_train,eta,delta,n_rep,coverage_mean,coverage_std,emp_robust_value_mean,emp_robust_value_std,gap_mean,gap_std,lcb_mean,lcb_std,true_value_mean,true_value_std
S0,200,0.3,0.2,50,1.0,0.0,0.634301475077689,0.03302554282017878,0.06699841685560988,0.02320281476190624,0.4694558039477082,0.027094817509751547,0.5364542208033182,0.012429451316650221
S0,200,0.3,0.1,50,1.0,0.0,0.634301475077689,0.03302554282017878,0.09010332287427474,0.023202814761906238,0.44635089792904337,0.027094817509751543,0.5364542208033182,0.012429451316650221
S0,200,0.3,0.05,50,1.0,0.0,0.634301475077689,0.03302554282017878,0.11320822889293955,0.023202814761906238,0.42324599191037854,0.027094817509751547,0.5364542208033182,0.012429451316650221
S0,200,1.0,0.2,50,1.0,0.0,0.6726109044271137,0.033065474540921194,0.170043722536142,0.027320932278379607,0.37693831734023225,0.031578613588915214,0.5469820398763744,0.015647388338223024
S0,200,1.0,0.1,50,1.0,0.0,0.6726109044271137,0.033065474540921194,0.17697519434174147,0.02732093227837961,0.37000684553463287,0.03157861358891522,0.5469820398763744,0.015647388338223024
S0,200,1.0,0.05,50,1.0,0.0,0.6726109044271137,0.033065474540921194,0.1839066661473409,0.027320932278379607,0.3630753737290335,0.031578613588915214,0.5469820398763744,0.015647388338223024
S0,200,3.0,0.2,50,1.0,0.0,0.6768935226453826,0.03201198150109101,0.6380733356590912,0.028477579872626255,-0.09042037647822301,0.031933927743122564,0.5476529591808682,0.017110829187625295
S0,200,3.0,0.1,50,1.0,0.0,0.6768935226453826,0.03201198150109101,0.6403838262609577,0.028477579872626255,-0.09273086708008949,0.031933927743122564,0.5476529591808682,0.017110829187625295
S0,200,3.0,0.05,50,1.0,0.0,0.6768935226453826,0.03201198150109101,0.6426943168628242,0.028477579872626262,-0.09504135768195597,0.03193392774312258,0.5476529591808682,0.017110829187625295
S0,500,0.3,0.2,50,1.0,0.0,0.6293795369595656,0.029401681555103042,0.06167208829119973,0.019389955838138098,0.5027972354036742,0.025132497959122653,0.5644693236948739,0.011841274811622005
S0,500,0.3,0.1,50,1.0,0.0,0.6293795369595656,0.029401681555103042,0.07091405069866569,0.019389955838138098,0.49355527299620816,0.025132497959122656,0.5644693236948739,0.011841274811622005
S0,500,0.3,0.05,50,1.0,0.0,0.6293795369595656,0.029401681555103042,0.0801560131061316,0.019389955838138098,0.48431331058874233,0.02513249795912266,0.5644693236948739,0.011841274811622005
S0,500,1.0,0.2,50,1.0,0.0,0.637124603696394,0.02676256442839341,0.20127392488278859,0.023321769986270564,0.3681577905936203,0.026667436933242986,0.5694317154764089,0.011434339592660922
S0,500,1.0,0.1,50,1.0,0.0,0.637124603696394,0.02676256442839341,0.20404651360502835,0.023321769986270564,0.36538520187138046,0.026667436933242986,0.5694317154764089,0.011434339592660922
S0,500,1.0,0.05,50,1.0,0.0,0.637124603696394,0.02676256442839341,0.2068191023272681,0.023321769986270564,0.36261261314914073,0.026667436933242986,0.5694317154764089,0.011434339592660922
S0,500,3.0,0.2,50,1.0,0.0,0.638089597703472,0.026372682548079358,0.6877861193871553,0.02341000499214678,-0.1187469147444285,0.026534143918777633,0.5690392046427267,0.012754221960860502
S0,500,3.0,0.1,50,1.0,0.0,0.638089597703472,0.026372682548079358,0.6887103156279017,0.023410004992146783,-0.11967111098517508,0.02653414391877764,0.5690392046427267,0.012754221960860502
S0,500,3.0,0.05,50,1.0,0.0,0.638089597703472,0.026372682548079358,0.6896345118686484,0.023410004992146783,-0.12059530722592168,0.02653414391877764,0.5690392046427267,0.012754221960860502
S0,1000,0.3,0.2,50,1.0,0.0,0.619840742810541,0.017269352659780673,0.0672126979654314,0.01535505052355049,0.5153258311223944,0.016667328668690373,0.5825385290878258,0.007628994212430233
S0,1000,0.3,0.1,50,1.0,0.0,0.619840742810541,0.017269352659780673,0.07183367916916436,0.015355050523550486,0.5107048499186615,0.01666732866869037,0.5825385290878258,0.007628994212430233
S0,1000,0.3,0.05,50,1.0,0.0,0.619840742810541,0.017269352659780673,0.07645466037289735,0.015355050523550483,0.5060838687149285,0.016667328668690366,0.5825385290878258,0.007628994212430233
S0,1000,1.0,0.2,50,1.0,0.0,0.6214765906253661,0.01720223953669774,0.2217942935164101,0.01593090803661997,0.3618108992569835,0.017005083137410112,0.5836051927733937,0.007430852074940203
S0,1000,1.0,0.1,50,1.0,0.0,0.6214765906253661,0.01720223953669774,0.22318058787753,0.015930908036619968,0.3604246048958637,0.017005083137410112,0.5836051927733937,0.007430852074940203
S0,1000,1.0,0.05,50,1.0,0.0,0.6214765906253661,0.01720223953669774,0.22456688223864993,0.01593090803661997,0.35903831053474383,0.017005083137410115,0.5836051927733937,0.007430852074940203
S0,1000,3.0,0.2,50,1.0,0.0,0.6217479241398534,0.017221788017684807,0.7152730673102948,0.015948412770539704,-0.1316171644324612,0.017141112187945635,0.5836559028778336,0.007596974481730399
S0,1000,3.0,0.1,50,1.0,0.0,0.6217479241398534,0.017221788017684807,0.7157351654306683,0.015948412770539707,-0.1320792625528345,0.017141112187945638,0.5836559028778336,0.007596974481730399
S0,1000,3.0,0.05,50,1.0,0.0,0.6217479241398534,0.017221788017684807,0.7161972635510415,0.01594841277053971,-0.1325413606732078,0.017141112187945638,0.5836559028778336,0.007596974481730399
