scenario,method,n_train,eta,delta,n_rep,coverage_mean,coverage_std,cvar10_value_mean,cvar10_value_std,emp_nominal_value_mean,emp_nominal_value_std,emp_robust_value_mean,emp_robust_value_std,emp_true_value_mean,emp_true_value_std,epsilon_mean,epsilon_std,gamma_u_mean,gamma_u_std,gap_mean,gap_std,hotspot_treat1_rate_mean,hotspot_treat1_rate_std,kl_to_prior_mean,kl_to_prior_std,lcb_mean,lcb_std,q05_value_mean,q05_value_std,selected_u_raw_mean,selected_u_raw_std,true_regret_mean,true_regret_std,true_value_mean,true_value_std
S0,owl_standard,200,nan,nan,25,nan,nan,0.2733907488189536,0.031526182929642224,0.6560726771291833,0.03392976306260332,0.6560726771291833,0.03392976306260332,0.6560726771291833,0.03392976306260332,0.5,0.0,0.0,0.0,nan,nan,0.18070999999999998,0.05251609078812575,nan,nan,nan,nan,0.2865916520086774,0.0352904317124358,0.0,0.0,0.0008592258622040693,0.004378146447515133,0.5424056315138226,0.011438572927786612
S0,owl_clipped,200,nan,nan,25,nan,nan,0.27472780962024834,0.03632166058594215,0.6522956314591286,0.04315645306843316,0.6522956314591286,0.04315645306843316,0.6522956314591286,0.04315645306843316,0.5,0.0,0.0,0.0,nan,nan,0.180276,0.05034591410101386,nan,nan,nan,nan,0.28824440560104747,0.040555048841941506,0.0,0.0,0.0004745840449890748,0.004649282706176941,0.5427902733310376,0.01374440370329943
S0,owl_robust_map,200,nan,nan,25,nan,nan,0.2699214913953265,0.028885319793412592,0.6552301912389664,0.0364464042213637,0.6552301912389664,0.0364464042213637,0.6552301912389664,0.0364464042213637,0.5,0.0,0.0,0.0,nan,nan,0.18033400000000005,0.05063858402114604,nan,nan,nan,nan,0.282940550947583,0.03280896880657931,0.0,0.0,0.001861558213756842,0.005667060551189871,0.5414032991622698,0.010847739020233595
S0,oracle_true_owl,200,nan,nan,25,nan,nan,0.2753503705087741,0.03348063558173158,0.6540321350586865,0.04223850322181535,0.6540321350586865,0.04223850322181535,0.6540321350586865,0.04223850322181535,0.5,0.0,0.0,0.0,nan,nan,0.17805800000000002,0.05131819584708722,nan,nan,nan,nan,0.2889770210448155,0.037529834898862725,0.0,0.0,0.0,0.0,0.5432648573760267,0.011996353172130814
S0,pac_nominal_gibbs,200,0.3,nan,25,nan,nan,0.3071958356166574,0.03308046812741657,0.6407513493745707,0.03656091875712257,0.6407513493745707,0.03656091875712257,0.6407513493745707,0.03656091875712257,0.5,0.0,0.0,0.0,nan,nan,0.19001511347526204,0.044208206699777236,1.063937285075802,0.2609657438990866,nan,nan,0.3201435730165101,0.036037975667594126,0.0,0.0,0.006307134785669541,0.004152151789614556,0.536957722590357,0.0111054645833223
S0,pac_robust_gibbs,200,0.3,0.2,25,0.96,0.2,0.3071958356166574,0.03308046812741657,0.6407513493745707,0.03656091875712257,0.6407513493745707,0.03656091875712257,0.6407513493745707,0.03656091875712257,0.5,0.0,0.0,0.0,0.0603188797994498,0.02792859287082604,0.19001511347526204,0.044208206699777236,1.063937285075802,0.2609657438990866,0.4766388427909074,0.030715963028483485,0.3201435730165101,0.036037975667594126,0.0,0.0,0.006307134785669541,0.004152151789614556,0.536957722590357,0.0111054645833223
S0,pac_robust_gibbs,200,0.3,0.1,25,1.0,0.0,0.3071958356166574,0.03308046812741657,0.6407513493745707,0.03656091875712257,0.6407513493745707,0.03656091875712257,0.6407513493745707,0.03656091875712257,0.5,0.0,0.0,0.0,0.08342378581811465,0.02792859287082603,0.19001511347526204,0.044208206699777236,1.063937285075802,0.2609657438990866,0.4535339367722425,0.03071596302848348,0.3201435730165101,0.036037975667594126,0.0,0.0,0.006307134785669541,0.004152151789614556,0.536957722590357,0.0111054645833223
S0,pac_robust_gibbs,200,0.3,0.05,25,1.0,0.0,0.3071958356166574,0.03308046812741657,0.6407513493745707,0.03656091875712257,0.6407513493745707,0.03656091875712257,0.6407513493745707,0.03656091875712257,0.5,0.0,0.0,0.0,0.10652869183677949,0.02792859287082603,0.19001511347526204,0.044208206699777236,1.063937285075802,0.2609657438990866,0.4304290307535777,0.03071596302848348,0.3201435730165101,0.036037975667594126,0.0,0.0,0.006307134785669541,0.004152151789614556,0.536957722590357,0.0111054645833223
S0,pac_nominal_gibbs,200,1.0,nan,25,nan,nan,0.286565972732582,0.03722909295469277,0.6619986980023733,0.034547562428089436,0.6619986980023733,0.034547562428089436,0.6619986980023733,0.034547562428089436,0.5,0.0,0.0,0.0,nan,nan,0.18104456653024573,0.05108434075844574,2.08009124890352,0.3747467967964898,nan,nan,0.30095316162569324,0.041272743835766,0.0,0.0,0.00010940806029313688,0.004072001382583251,0.5431554493157337,0.01247620574439421
S0,pac_robust_gibbs,200,1.0,0.2,25,1.0,0.0,0.286565972732582,0.03722909295469277,0.6619986980023733,0.034547562428089436,0.6619986980023733,0.034547562428089436,0.6619986980023733,0.034547562428089436,0.5,0.0,0.0,0.0,0.16805204292673642,0.03161853564795608,0.18104456653024573,0.05108434075844574,2.08009124890352,0.3747467967964898,0.37510340638899714,0.03376728219094223,0.30095316162569324,0.041272743835766,0.0,0.0,0.00010940806029313688,0.004072001382583251,0.5431554493157337,0.01247620574439421
